0000.001 (0) Opened log file at time: Wed, 04 Jun 2025 13:51:00 +0000 on http://localhost/php/wordpress
0000.009 (0) UpdraftPlus WordPress backup plugin (https://updraftplus.com): 1.25.6 WP: 6.8.1 PHP: 8.2.12 (apache2handler, Windows NT ORDI-BUREAU 10.0 build 26100 (Windows 11) AMD64) MySQL: 10.4.32-MariaDB (max packet size=1048576) WPLANG: fr_FR Server: Apache/2.4.58 (Win64) OpenSSL/3.1.3 PHP/8.2.12 safe_mode: 0 max_execution_time: 900 memory_limit: 512M (used: 88.8M | 90M) multisite: N openssl: OpenSSL 3.0.11 19 Sep 2023 mcrypt: N LANG:  WP Proxy: disabled ZipArchive::addFile: N
0000.013 (0) Free space on disk containing Updraft's temporary directory: 288209.6 MB
0000.026 (0) Tasks: Backup files: 1 (schedule: weekly) Backup DB: 1 (schedule: daily)
0000.105 (0) Requesting semaphore lock (fd) (apparently not via scheduler)
0000.134 (0) Semaphore (fd, wp_options) was stuck, set lock time to 2025-06-04 13:51:01
0000.138 (0) Semaphore (fd, wp_options) reset to 1
0000.142 (0) Set semaphore last lock (fd) time to 2025-06-04 13:51:01
0000.144 (0) Semaphore lock (fd) complete
0000.169 (0) Backup run: resumption=0, nonce=65ecf0bd08b2, file_nonce=65ecf0bd08b2 begun at=1749045060 (1s ago), job type=backup
0000.174 (0) Scheduling a resumption (1) after 300 seconds (1749045361) in case this run gets aborted
0000.204 (0) Checking if we have a zip executable available
0000.235 (0) Zip engine: ZipArchive (a.k.a. php-zip) is not available or is disabled (will use PclZip (much slower) if needed)
0000.239 (0) Creation of backups of directories: beginning
0000.254 (0) Beginning creation of dump of plugins (split every: 400 MB)
0012.668 (0) Total entities for the zip file: 2090 directories, 9695 files (0 skipped as non-modified), 174 MB
0012.675 (0) Only one archive required (UpdraftPlus_PclZip) - will attempt to do in single operation (data: 178125 KB, split: 409600 KB)
0012.777 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 100 files added (on-disk size: 0 KB)
0012.861 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 200 files added (on-disk size: 0 KB)
0012.965 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 300 files added (on-disk size: 0 KB)
0013.054 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 400 files added (on-disk size: 0 KB)
0013.145 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 500 files added (on-disk size: 0 KB)
0013.230 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 600 files added (on-disk size: 0 KB)
0013.331 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 700 files added (on-disk size: 0 KB)
0013.431 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 800 files added (on-disk size: 0 KB)
0013.536 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 900 files added (on-disk size: 0 KB)
0013.627 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 1000 files added (on-disk size: 0 KB)
0013.731 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 1100 files added (on-disk size: 0 KB)
0013.831 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 1200 files added (on-disk size: 0 KB)
0013.934 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 1300 files added (on-disk size: 0 KB)
0014.029 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 1400 files added (on-disk size: 0 KB)
0014.110 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 1500 files added (on-disk size: 0 KB)
0014.195 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 1600 files added (on-disk size: 0 KB)
0014.375 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 1700 files added (on-disk size: 0 KB)
0014.459 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 1800 files added (on-disk size: 0 KB)
0014.567 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 1900 files added (on-disk size: 0 KB)
0014.650 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 2000 files added (on-disk size: 0 KB)
0014.736 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 2100 files added (on-disk size: 0 KB)
0014.839 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 2200 files added (on-disk size: 0 KB)
0014.922 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 2300 files added (on-disk size: 0 KB)
0015.006 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 2400 files added (on-disk size: 0 KB)
0015.098 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 2500 files added (on-disk size: 0 KB)
0015.184 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 2600 files added (on-disk size: 0 KB)
0015.302 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 2700 files added (on-disk size: 0 KB)
0015.397 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 2800 files added (on-disk size: 0 KB)
0015.502 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 2900 files added (on-disk size: 0 KB)
0015.604 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 3000 files added (on-disk size: 0 KB)
0015.707 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 3100 files added (on-disk size: 0 KB)
0015.804 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 3200 files added (on-disk size: 0 KB)
0015.921 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 3300 files added (on-disk size: 0 KB)
0016.039 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 3400 files added (on-disk size: 0 KB)
0016.145 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 3500 files added (on-disk size: 0 KB)
0016.253 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 3600 files added (on-disk size: 0 KB)
0016.379 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 3700 files added (on-disk size: 0 KB)
0016.490 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 3800 files added (on-disk size: 0 KB)
0016.587 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 3900 files added (on-disk size: 0 KB)
0016.693 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 4000 files added (on-disk size: 0 KB)
0016.784 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 4100 files added (on-disk size: 0 KB)
0016.896 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 4200 files added (on-disk size: 0 KB)
0017.007 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 4300 files added (on-disk size: 0 KB)
0017.112 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 4400 files added (on-disk size: 0 KB)
0017.214 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 4500 files added (on-disk size: 0 KB)
0017.317 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 4600 files added (on-disk size: 0 KB)
0017.435 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 4700 files added (on-disk size: 0 KB)
0017.539 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 4800 files added (on-disk size: 0 KB)
0017.657 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 4900 files added (on-disk size: 0 KB)
0017.755 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 5000 files added (on-disk size: 0 KB)
0017.863 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 5100 files added (on-disk size: 0 KB)
0017.970 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 5200 files added (on-disk size: 0 KB)
0018.069 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 5300 files added (on-disk size: 0 KB)
0018.168 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 5400 files added (on-disk size: 0 KB)
0018.293 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 5500 files added (on-disk size: 0 KB)
0018.428 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 5600 files added (on-disk size: 0 KB)
0018.558 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 5700 files added (on-disk size: 0 KB)
0018.667 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 5800 files added (on-disk size: 0 KB)
0018.795 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 5900 files added (on-disk size: 0 KB)
0018.934 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 6000 files added (on-disk size: 0 KB)
0019.051 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 6100 files added (on-disk size: 0 KB)
0019.172 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 6200 files added (on-disk size: 0 KB)
0019.295 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 6300 files added (on-disk size: 0 KB)
0019.434 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 6400 files added (on-disk size: 0 KB)
0019.603 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 6500 files added (on-disk size: 0 KB)
0019.755 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 6600 files added (on-disk size: 0 KB)
0019.909 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 6700 files added (on-disk size: 0 KB)
0020.039 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 6800 files added (on-disk size: 0 KB)
0020.174 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 6900 files added (on-disk size: 0 KB)
0020.308 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 7000 files added (on-disk size: 0 KB)
0020.477 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 7100 files added (on-disk size: 0 KB)
0020.581 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 7200 files added (on-disk size: 0 KB)
0020.683 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 7300 files added (on-disk size: 0 KB)
0020.792 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 7400 files added (on-disk size: 0 KB)
0020.894 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 7500 files added (on-disk size: 0 KB)
0021.006 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 7600 files added (on-disk size: 0 KB)
0021.109 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 7700 files added (on-disk size: 0 KB)
0021.205 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 7800 files added (on-disk size: 0 KB)
0021.302 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 7900 files added (on-disk size: 0 KB)
0021.409 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 8000 files added (on-disk size: 0 KB)
0021.514 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 8100 files added (on-disk size: 0 KB)
0021.609 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 8200 files added (on-disk size: 0 KB)
0021.714 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 8300 files added (on-disk size: 0 KB)
0021.825 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 8400 files added (on-disk size: 0 KB)
0021.939 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 8500 files added (on-disk size: 0 KB)
0022.042 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 8600 files added (on-disk size: 0 KB)
0022.145 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 8700 files added (on-disk size: 0 KB)
0022.254 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 8800 files added (on-disk size: 0 KB)
0022.366 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 8900 files added (on-disk size: 0 KB)
0022.477 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 9000 files added (on-disk size: 0 KB)
0022.578 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 9100 files added (on-disk size: 0 KB)
0022.683 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 9200 files added (on-disk size: 0 KB)
0022.777 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 9300 files added (on-disk size: 0 KB)
0022.914 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 9400 files added (on-disk size: 0 KB)
0023.012 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 9500 files added (on-disk size: 0 KB)
0023.117 (0) Zip: backup_2025-06-04-1551_Mumy_Piercing_65ecf0bd08b2-plugins.zip.tmp: 9600 files added (on-disk size: 0 KB)
